,Cantidad de características,Caracteristicas modelo,Puntaje (Sales_rmspe)
0,38,"['Promo2SinceYear', 'StateHoliday_bool_fw', 'SchoolHoliday_fw', 'Assortment', 'Week', 'Promo2Weeks', 'Day', 'Year', 'Promo', 'Promo2SinceWeek', 'State', 'Month', 'CompetitionOpenSinceYear', 'Promo_fw', 'PromoInterval', 'DayOfWeek', 'Close_bool_fw', 'Promo_bw', 'SchoolHoliday', 'StateHoliday_bool_bw', 'Min_Humidity', 'StateHoliday_bool', 'AfterStateHoliday_bool', 'Max_Wind_SpeedKm_h', 'BeforePromo', 'Mean_Humidity', 'Max_Humidity', 'BeforeStateHoliday_bool', 'trend', 'Max_TemperatureC', 'BeforeSchoolHoliday', 'Precipitationmm', 'AfterPromo', 'BeforeClose_bool', 'Mean_TemperatureC', 'AfterSchoolHoliday', 'trend_DE', 'Min_TemperatureC']",0.4481967091560364
1,38,"['Promo2SinceYear', 'StateHoliday_bool_fw', 'SchoolHoliday_fw', 'Assortment', 'Week', 'Promo2Weeks', 'Day', 'Year', 'Promo', 'Promo2SinceWeek', 'State', 'Month', 'CompetitionOpenSinceYear', 'Promo_fw', 'PromoInterval', 'DayOfWeek', 'Close_bool_fw', 'Promo_bw', 'SchoolHoliday', 'StateHoliday_bool_bw', 'Mean_Humidity', 'Precipitationmm', 'AfterSchoolHoliday', 'BeforeSchoolHoliday', 'trend_DE', 'StateHoliday_bool', 'AfterPromo', 'BeforePromo', 'CompetitionDistance', 'Max_Wind_SpeedKm_h', 'Max_TemperatureC', 'Min_Humidity', 'BeforeStateHoliday_bool', 'AfterStateHoliday_bool', 'Mean_TemperatureC', 'CloudCover', 'Mean_Wind_SpeedKm_h', 'Max_Humidity']",0.3886159360408783
2,34,"['Promo2SinceYear', 'StateHoliday_bool_fw', 'SchoolHoliday_fw', 'Assortment', 'Week', 'Promo2Weeks', 'Day', 'Year', 'Promo', 'Promo2SinceWeek', 'State', 'Month', 'CompetitionOpenSinceYear', 'Promo_fw', 'PromoInterval', 'DayOfWeek', 'Close_bool_fw', 'Promo_bw', 'SchoolHoliday', 'StateHoliday_bool_bw', 'AfterClose_bool', 'BeforeSchoolHoliday', 'StateHoliday_bool', 'Mean_Humidity', 'BeforePromo', 'Precipitationmm', 'Mean_Wind_SpeedKm_h', 'BeforeClose_bool', 'CloudCover', 'AfterSchoolHoliday', 'Min_TemperatureC', 'Min_Humidity', 'Mean_TemperatureC', 'Max_Wind_SpeedKm_h']",0.39789167046546936
3,31,"['SchoolHoliday_bw', 'CompetitionMonthsOpen', 'PromoInterval', 'SchoolHoliday', 'Promo2SinceWeek', 'State', 'Year', 'StateHoliday_bool_fw', 'CompetitionOpenSinceYear', 'Promo2SinceYear', 'Store', 'Month', 'StateHoliday', 'Min_Humidity', 'StateHoliday_bool', 'AfterStateHoliday_bool', 'Max_Wind_SpeedKm_h', 'BeforePromo', 'Mean_Humidity', 'Max_Humidity', 'BeforeStateHoliday_bool', 'trend', 'Max_TemperatureC', 'BeforeSchoolHoliday', 'Precipitationmm', 'AfterPromo', 'BeforeClose_bool', 'Mean_TemperatureC', 'AfterSchoolHoliday', 'trend_DE', 'Min_TemperatureC']",0.1742328554391861
4,31,"['SchoolHoliday_bw', 'CompetitionMonthsOpen', 'PromoInterval', 'SchoolHoliday', 'Promo2SinceWeek', 'State', 'Year', 'StateHoliday_bool_fw', 'CompetitionOpenSinceYear', 'Promo2SinceYear', 'Store', 'Month', 'StateHoliday', 'Mean_Humidity', 'Precipitationmm', 'AfterSchoolHoliday', 'BeforeSchoolHoliday', 'trend_DE', 'StateHoliday_bool', 'AfterPromo', 'BeforePromo', 'CompetitionDistance', 'Max_Wind_SpeedKm_h', 'Max_TemperatureC', 'Min_Humidity', 'BeforeStateHoliday_bool', 'AfterStateHoliday_bool', 'Mean_TemperatureC', 'CloudCover', 'Mean_Wind_SpeedKm_h', 'Max_Humidity']",0.18845023214817047
5,27,"['SchoolHoliday_bw', 'CompetitionMonthsOpen', 'PromoInterval', 'SchoolHoliday', 'Promo2SinceWeek', 'State', 'Year', 'StateHoliday_bool_fw', 'CompetitionOpenSinceYear', 'Promo2SinceYear', 'Store', 'Month', 'StateHoliday', 'AfterClose_bool', 'BeforeSchoolHoliday', 'StateHoliday_bool', 'Mean_Humidity', 'BeforePromo', 'Precipitationmm', 'Mean_Wind_SpeedKm_h', 'BeforeClose_bool', 'CloudCover', 'AfterSchoolHoliday', 'Min_TemperatureC', 'Min_Humidity', 'Mean_TemperatureC', 'Max_Wind_SpeedKm_h']",0.17013315856456757
6,33,"['StateHoliday_bool_fw', 'Store', 'SchoolHoliday_fw', 'CompetitionMonthsOpen', 'Promo_bw', 'Promo2', 'Promo', 'State', 'Close_bool_fw', 'Promo2Weeks', 'PromoInterval', 'Week', 'Promo2SinceYear', 'StoreType', 'SchoolHoliday_bw', 'Min_Humidity', 'StateHoliday_bool', 'AfterStateHoliday_bool', 'Max_Wind_SpeedKm_h', 'BeforePromo', 'Mean_Humidity', 'Max_Humidity', 'BeforeStateHoliday_bool', 'trend', 'Max_TemperatureC', 'BeforeSchoolHoliday', 'Precipitationmm', 'AfterPromo', 'BeforeClose_bool', 'Mean_TemperatureC', 'AfterSchoolHoliday', 'trend_DE', 'Min_TemperatureC']",0.15311452746391296
7,33,"['StateHoliday_bool_fw', 'Store', 'SchoolHoliday_fw', 'CompetitionMonthsOpen', 'Promo_bw', 'Promo2', 'Promo', 'State', 'Close_bool_fw', 'Promo2Weeks', 'PromoInterval', 'Week', 'Promo2SinceYear', 'StoreType', 'SchoolHoliday_bw', 'Mean_Humidity', 'Precipitationmm', 'AfterSchoolHoliday', 'BeforeSchoolHoliday', 'trend_DE', 'StateHoliday_bool', 'AfterPromo', 'BeforePromo', 'CompetitionDistance', 'Max_Wind_SpeedKm_h', 'Max_TemperatureC', 'Min_Humidity', 'BeforeStateHoliday_bool', 'AfterStateHoliday_bool', 'Mean_TemperatureC', 'CloudCover', 'Mean_Wind_SpeedKm_h', 'Max_Humidity']",0.1530349850654602
8,29,"['StateHoliday_bool_fw', 'Store', 'SchoolHoliday_fw', 'CompetitionMonthsOpen', 'Promo_bw', 'Promo2', 'Promo', 'State', 'Close_bool_fw', 'Promo2Weeks', 'PromoInterval', 'Week', 'Promo2SinceYear', 'StoreType', 'SchoolHoliday_bw', 'AfterClose_bool', 'BeforeSchoolHoliday', 'StateHoliday_bool', 'Mean_Humidity', 'BeforePromo', 'Precipitationmm', 'Mean_Wind_SpeedKm_h', 'BeforeClose_bool', 'CloudCover', 'AfterSchoolHoliday', 'Min_TemperatureC', 'Min_Humidity', 'Mean_TemperatureC', 'Max_Wind_SpeedKm_h']",0.16215196251869202
