,Cantidad de características,Caracteristicas modelo,Puntaje (Sales_rmspe)
0,40,"['Week', 'Promo_bw', 'Events', 'Close_bool_fw', 'Month', 'CompetitionOpenSinceYear', 'Promo', 'SchoolHoliday_fw', 'Close_bool_bw', 'StateHoliday', 'Promo2Weeks', 'Store', 'SchoolHoliday_bw', 'Promo_fw', 'StateHoliday_bool_bw', 'CompetitionMonthsOpen', 'Day', 'StoreType', 'Year', 'StateHoliday_bool_fw', 'PromoInterval', 'Assortment', 'Promo2SinceYear', 'AfterClose_bool', 'AfterSchoolHoliday', 'Max_Humidity', 'Mean_TemperatureC', 'BeforeStateHoliday_bool', 'AfterStateHoliday_bool', 'Max_TemperatureC', 'CompetitionDistance', 'BeforePromo', 'BeforeClose_bool', 'trend', 'AfterPromo', 'CloudCover', 'Mean_Humidity', 'Min_TemperatureC', 'Max_Wind_SpeedKm_h', 'StateHoliday_bool']",0.15398730337619781
1,43,"['Week', 'Promo_bw', 'Events', 'Close_bool_fw', 'Month', 'CompetitionOpenSinceYear', 'Promo', 'SchoolHoliday_fw', 'Close_bool_bw', 'StateHoliday', 'Promo2Weeks', 'Store', 'SchoolHoliday_bw', 'Promo_fw', 'StateHoliday_bool_bw', 'CompetitionMonthsOpen', 'Day', 'StoreType', 'Year', 'StateHoliday_bool_fw', 'PromoInterval', 'Assortment', 'Promo2SinceYear', 'Max_Wind_SpeedKm_h', 'Max_TemperatureC', 'BeforeClose_bool', 'AfterPromo', 'BeforeSchoolHoliday', 'StateHoliday_bool', 'Mean_Wind_SpeedKm_h', 'Mean_TemperatureC', 'AfterClose_bool', 'AfterSchoolHoliday', 'trend_DE', 'CloudCover', 'trend', 'Min_Humidity', 'Precipitationmm', 'BeforePromo', 'Max_Humidity', 'Mean_Humidity', 'CompetitionDistance', 'Min_TemperatureC']",0.14466576278209686
2,39,"['Week', 'Promo_bw', 'Events', 'Close_bool_fw', 'Month', 'CompetitionOpenSinceYear', 'Promo', 'SchoolHoliday_fw', 'Close_bool_bw', 'StateHoliday', 'Promo2Weeks', 'Store', 'SchoolHoliday_bw', 'Promo_fw', 'StateHoliday_bool_bw', 'CompetitionMonthsOpen', 'Day', 'StoreType', 'Year', 'StateHoliday_bool_fw', 'PromoInterval', 'Assortment', 'Promo2SinceYear', 'Min_Humidity', 'StateHoliday_bool', 'Mean_Wind_SpeedKm_h', 'Max_TemperatureC', 'AfterStateHoliday_bool', 'trend_DE', 'CompetitionDistance', 'BeforePromo', 'AfterPromo', 'AfterSchoolHoliday', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'Max_Humidity', 'AfterClose_bool', 'CloudCover', 'trend']",0.13637101650238037
3,28,"['CompetitionMonthsOpen', 'SchoolHoliday_bw', 'Promo2', 'SchoolHoliday', 'Promo2Weeks', 'PromoInterval', 'Week', 'Month', 'SchoolHoliday_fw', 'Promo', 'StateHoliday_bool_bw', 'AfterClose_bool', 'AfterSchoolHoliday', 'Max_Humidity', 'Mean_TemperatureC', 'BeforeStateHoliday_bool', 'AfterStateHoliday_bool', 'Max_TemperatureC', 'CompetitionDistance', 'BeforePromo', 'BeforeClose_bool', 'trend', 'AfterPromo', 'CloudCover', 'Mean_Humidity', 'Min_TemperatureC', 'Max_Wind_SpeedKm_h', 'StateHoliday_bool']",0.4305487275123596
4,31,"['CompetitionMonthsOpen', 'SchoolHoliday_bw', 'Promo2', 'SchoolHoliday', 'Promo2Weeks', 'PromoInterval', 'Week', 'Month', 'SchoolHoliday_fw', 'Promo', 'StateHoliday_bool_bw', 'Max_Wind_SpeedKm_h', 'Max_TemperatureC', 'BeforeClose_bool', 'AfterPromo', 'BeforeSchoolHoliday', 'StateHoliday_bool', 'Mean_Wind_SpeedKm_h', 'Mean_TemperatureC', 'AfterClose_bool', 'AfterSchoolHoliday', 'trend_DE', 'CloudCover', 'trend', 'Min_Humidity', 'Precipitationmm', 'BeforePromo', 'Max_Humidity', 'Mean_Humidity', 'CompetitionDistance', 'Min_TemperatureC']",0.4054742157459259
5,27,"['CompetitionMonthsOpen', 'SchoolHoliday_bw', 'Promo2', 'SchoolHoliday', 'Promo2Weeks', 'PromoInterval', 'Week', 'Month', 'SchoolHoliday_fw', 'Promo', 'StateHoliday_bool_bw', 'Min_Humidity', 'StateHoliday_bool', 'Mean_Wind_SpeedKm_h', 'Max_TemperatureC', 'AfterStateHoliday_bool', 'trend_DE', 'CompetitionDistance', 'BeforePromo', 'AfterPromo', 'AfterSchoolHoliday', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'Max_Humidity', 'AfterClose_bool', 'CloudCover', 'trend']",0.42941728234291077
6,31,"['Events', 'Promo2SinceYear', 'SchoolHoliday', 'DayOfWeek', 'Month', 'Year', 'Close_bool_bw', 'Week', 'Close_bool_fw', 'Promo', 'Promo2Weeks', 'StoreType', 'StateHoliday_bool_fw', 'PromoInterval', 'AfterClose_bool', 'AfterSchoolHoliday', 'Max_Humidity', 'Mean_TemperatureC', 'BeforeStateHoliday_bool', 'AfterStateHoliday_bool', 'Max_TemperatureC', 'CompetitionDistance', 'BeforePromo', 'BeforeClose_bool', 'trend', 'AfterPromo', 'CloudCover', 'Mean_Humidity', 'Min_TemperatureC', 'Max_Wind_SpeedKm_h', 'StateHoliday_bool']",0.413296103477478
7,34,"['Events', 'Promo2SinceYear', 'SchoolHoliday', 'DayOfWeek', 'Month', 'Year', 'Close_bool_bw', 'Week', 'Close_bool_fw', 'Promo', 'Promo2Weeks', 'StoreType', 'StateHoliday_bool_fw', 'PromoInterval', 'Max_Wind_SpeedKm_h', 'Max_TemperatureC', 'BeforeClose_bool', 'AfterPromo', 'BeforeSchoolHoliday', 'StateHoliday_bool', 'Mean_Wind_SpeedKm_h', 'Mean_TemperatureC', 'AfterClose_bool', 'AfterSchoolHoliday', 'trend_DE', 'CloudCover', 'trend', 'Min_Humidity', 'Precipitationmm', 'BeforePromo', 'Max_Humidity', 'Mean_Humidity', 'CompetitionDistance', 'Min_TemperatureC']",0.3845171332359314
8,30,"['Events', 'Promo2SinceYear', 'SchoolHoliday', 'DayOfWeek', 'Month', 'Year', 'Close_bool_bw', 'Week', 'Close_bool_fw', 'Promo', 'Promo2Weeks', 'StoreType', 'StateHoliday_bool_fw', 'PromoInterval', 'Min_Humidity', 'StateHoliday_bool', 'Mean_Wind_SpeedKm_h', 'Max_TemperatureC', 'AfterStateHoliday_bool', 'trend_DE', 'CompetitionDistance', 'BeforePromo', 'AfterPromo', 'AfterSchoolHoliday', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'Max_Humidity', 'AfterClose_bool', 'CloudCover', 'trend']",0.4041832387447357
