,Cantidad de características,Caracteristicas modelo,Puntaje (Sales_rmspe)
0,36,"['Week', 'Close_bool_fw', 'Promo2SinceYear', 'CompetitionOpenSinceYear', 'StateHoliday_bool_bw', 'StateHoliday', 'Promo2SinceWeek', 'SchoolHoliday', 'DayOfWeek', 'Assortment', 'Promo', 'PromoInterval', 'StateHoliday_bool_fw', 'Month', 'SchoolHoliday_fw', 'Promo2Weeks', 'Promo_fw', 'Promo_bw', 'Store', 'Events', 'Close_bool_bw', 'CompetitionMonthsOpen', 'StoreType', 'trend', 'CloudCover', 'AfterStateHoliday_bool', 'BeforeClose_bool', 'trend_DE', 'Min_TemperatureC', 'AfterPromo', 'Max_Wind_SpeedKm_h', 'BeforeSchoolHoliday', 'AfterClose_bool', 'Mean_Humidity', 'AfterSchoolHoliday', 'Precipitationmm']",0.14862582087516785
1,39,"['Week', 'Close_bool_fw', 'Promo2SinceYear', 'CompetitionOpenSinceYear', 'StateHoliday_bool_bw', 'StateHoliday', 'Promo2SinceWeek', 'SchoolHoliday', 'DayOfWeek', 'Assortment', 'Promo', 'PromoInterval', 'StateHoliday_bool_fw', 'Month', 'SchoolHoliday_fw', 'Promo2Weeks', 'Promo_fw', 'Promo_bw', 'Store', 'Events', 'Close_bool_bw', 'CompetitionMonthsOpen', 'StoreType', 'Mean_Wind_SpeedKm_h', 'AfterStateHoliday_bool', 'CloudCover', 'Mean_Humidity', 'trend', 'Min_Humidity', 'StateHoliday_bool', 'Max_TemperatureC', 'Min_TemperatureC', 'BeforeStateHoliday_bool', 'AfterPromo', 'trend_DE', 'AfterClose_bool', 'AfterSchoolHoliday', 'BeforeClose_bool', 'BeforePromo']",0.14672072231769562
2,37,"['Week', 'Close_bool_fw', 'Promo2SinceYear', 'CompetitionOpenSinceYear', 'StateHoliday_bool_bw', 'StateHoliday', 'Promo2SinceWeek', 'SchoolHoliday', 'DayOfWeek', 'Assortment', 'Promo', 'PromoInterval', 'StateHoliday_bool_fw', 'Month', 'SchoolHoliday_fw', 'Promo2Weeks', 'Promo_fw', 'Promo_bw', 'Store', 'Events', 'Close_bool_bw', 'CompetitionMonthsOpen', 'StoreType', 'Precipitationmm', 'Max_Wind_SpeedKm_h', 'Max_Humidity', 'AfterPromo', 'Min_TemperatureC', 'Mean_TemperatureC', 'AfterStateHoliday_bool', 'Max_TemperatureC', 'CompetitionDistance', 'trend', 'Min_Humidity', 'AfterSchoolHoliday', 'trend_DE', 'BeforeStateHoliday_bool']",0.14935067296028137
3,36,"['Promo2Weeks', 'StateHoliday_bool_fw', 'Close_bool_fw', 'StateHoliday_bool_bw', 'Day', 'Promo_fw', 'Store', 'Events', 'SchoolHoliday_fw', 'Year', 'DayOfWeek', 'SchoolHoliday', 'Promo2SinceWeek', 'Promo2', 'PromoInterval', 'StateHoliday', 'Week', 'StoreType', 'Close_bool_bw', 'Month', 'CompetitionOpenSinceYear', 'SchoolHoliday_bw', 'Promo_bw', 'trend', 'CloudCover', 'AfterStateHoliday_bool', 'BeforeClose_bool', 'trend_DE', 'Min_TemperatureC', 'AfterPromo', 'Max_Wind_SpeedKm_h', 'BeforeSchoolHoliday', 'AfterClose_bool', 'Mean_Humidity', 'AfterSchoolHoliday', 'Precipitationmm']",0.1483522355556488
4,39,"['Promo2Weeks', 'StateHoliday_bool_fw', 'Close_bool_fw', 'StateHoliday_bool_bw', 'Day', 'Promo_fw', 'Store', 'Events', 'SchoolHoliday_fw', 'Year', 'DayOfWeek', 'SchoolHoliday', 'Promo2SinceWeek', 'Promo2', 'PromoInterval', 'StateHoliday', 'Week', 'StoreType', 'Close_bool_bw', 'Month', 'CompetitionOpenSinceYear', 'SchoolHoliday_bw', 'Promo_bw', 'Mean_Wind_SpeedKm_h', 'AfterStateHoliday_bool', 'CloudCover', 'Mean_Humidity', 'trend', 'Min_Humidity', 'StateHoliday_bool', 'Max_TemperatureC', 'Min_TemperatureC', 'BeforeStateHoliday_bool', 'AfterPromo', 'trend_DE', 'AfterClose_bool', 'AfterSchoolHoliday', 'BeforeClose_bool', 'BeforePromo']",0.13772861659526825
5,37,"['Promo2Weeks', 'StateHoliday_bool_fw', 'Close_bool_fw', 'StateHoliday_bool_bw', 'Day', 'Promo_fw', 'Store', 'Events', 'SchoolHoliday_fw', 'Year', 'DayOfWeek', 'SchoolHoliday', 'Promo2SinceWeek', 'Promo2', 'PromoInterval', 'StateHoliday', 'Week', 'StoreType', 'Close_bool_bw', 'Month', 'CompetitionOpenSinceYear', 'SchoolHoliday_bw', 'Promo_bw', 'Precipitationmm', 'Max_Wind_SpeedKm_h', 'Max_Humidity', 'AfterPromo', 'Min_TemperatureC', 'Mean_TemperatureC', 'AfterStateHoliday_bool', 'Max_TemperatureC', 'CompetitionDistance', 'trend', 'Min_Humidity', 'AfterSchoolHoliday', 'trend_DE', 'BeforeStateHoliday_bool']",0.13753639161586761
6,24,"['Events', 'SchoolHoliday_fw', 'Promo_fw', 'Week', 'Month', 'Close_bool_fw', 'State', 'Promo2Weeks', 'Promo2SinceWeek', 'SchoolHoliday_bw', 'PromoInterval', 'trend', 'CloudCover', 'AfterStateHoliday_bool', 'BeforeClose_bool', 'trend_DE', 'Min_TemperatureC', 'AfterPromo', 'Max_Wind_SpeedKm_h', 'BeforeSchoolHoliday', 'AfterClose_bool', 'Mean_Humidity', 'AfterSchoolHoliday', 'Precipitationmm']",0.44468456506729126
7,27,"['Events', 'SchoolHoliday_fw', 'Promo_fw', 'Week', 'Month', 'Close_bool_fw', 'State', 'Promo2Weeks', 'Promo2SinceWeek', 'SchoolHoliday_bw', 'PromoInterval', 'Mean_Wind_SpeedKm_h', 'AfterStateHoliday_bool', 'CloudCover', 'Mean_Humidity', 'trend', 'Min_Humidity', 'StateHoliday_bool', 'Max_TemperatureC', 'Min_TemperatureC', 'BeforeStateHoliday_bool', 'AfterPromo', 'trend_DE', 'AfterClose_bool', 'AfterSchoolHoliday', 'BeforeClose_bool', 'BeforePromo']",0.4703763425350189
8,25,"['Events', 'SchoolHoliday_fw', 'Promo_fw', 'Week', 'Month', 'Close_bool_fw', 'State', 'Promo2Weeks', 'Promo2SinceWeek', 'SchoolHoliday_bw', 'PromoInterval', 'Precipitationmm', 'Max_Wind_SpeedKm_h', 'Max_Humidity', 'AfterPromo', 'Min_TemperatureC', 'Mean_TemperatureC', 'AfterStateHoliday_bool', 'Max_TemperatureC', 'CompetitionDistance', 'trend', 'Min_Humidity', 'AfterSchoolHoliday', 'trend_DE', 'BeforeStateHoliday_bool']",0.4584944248199463
