,Cantidad de características,Caracteristicas modelo,Puntaje (Sales_rmspe)
0,37,"['StateHoliday', 'Close_bool_fw', 'StoreType', 'Month', 'Day', 'Promo_bw', 'StateHoliday_bool_bw', 'StateHoliday_bool_fw', 'Year', 'Promo', 'SchoolHoliday', 'Promo2SinceWeek', 'Promo2', 'Promo_fw', 'Close_bool_bw', 'Assortment', 'CompetitionMonthsOpen', 'BeforeClose_bool', 'Min_Humidity', 'Mean_Humidity', 'Min_TemperatureC', 'Mean_TemperatureC', 'StateHoliday_bool', 'trend', 'CompetitionDistance', 'AfterSchoolHoliday', 'trend_DE', 'AfterStateHoliday_bool', 'BeforeStateHoliday_bool', 'Max_Humidity', 'AfterPromo', 'BeforeSchoolHoliday', 'Precipitationmm', 'Mean_Wind_SpeedKm_h', 'AfterClose_bool', 'Max_Wind_SpeedKm_h', 'BeforePromo']",0.38614141941070557
1,36,"['StateHoliday', 'Close_bool_fw', 'StoreType', 'Month', 'Day', 'Promo_bw', 'StateHoliday_bool_bw', 'StateHoliday_bool_fw', 'Year', 'Promo', 'SchoolHoliday', 'Promo2SinceWeek', 'Promo2', 'Promo_fw', 'Close_bool_bw', 'Assortment', 'CompetitionMonthsOpen', 'AfterSchoolHoliday', 'AfterStateHoliday_bool', 'BeforeSchoolHoliday', 'Mean_TemperatureC', 'Min_TemperatureC', 'Min_Humidity', 'BeforePromo', 'StateHoliday_bool', 'trend_DE', 'Max_Wind_SpeedKm_h', 'CloudCover', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'Max_TemperatureC', 'AfterPromo', 'trend', 'Precipitationmm', 'Mean_Humidity', 'Mean_Wind_SpeedKm_h']",0.3928236663341522
2,35,"['StateHoliday', 'Close_bool_fw', 'StoreType', 'Month', 'Day', 'Promo_bw', 'StateHoliday_bool_bw', 'StateHoliday_bool_fw', 'Year', 'Promo', 'SchoolHoliday', 'Promo2SinceWeek', 'Promo2', 'Promo_fw', 'Close_bool_bw', 'Assortment', 'CompetitionMonthsOpen', 'CompetitionDistance', 'AfterStateHoliday_bool', 'BeforePromo', 'Precipitationmm', 'Mean_TemperatureC', 'Max_TemperatureC', 'AfterClose_bool', 'BeforeSchoolHoliday', 'Mean_Humidity', 'AfterPromo', 'Max_Wind_SpeedKm_h', 'Mean_Wind_SpeedKm_h', 'Min_TemperatureC', 'StateHoliday_bool', 'Max_Humidity', 'BeforeStateHoliday_bool', 'trend', 'trend_DE']",0.380521297454834
3,45,"['CompetitionMonthsOpen', 'Week', 'StateHoliday', 'PromoInterval', 'StateHoliday_bool_fw', 'Promo_bw', 'Close_bool_fw', 'StoreType', 'DayOfWeek', 'Promo2', 'Close_bool_bw', 'SchoolHoliday_fw', 'Promo_fw', 'Promo2SinceWeek', 'Day', 'Events', 'Promo2Weeks', 'SchoolHoliday', 'SchoolHoliday_bw', 'State', 'CompetitionOpenSinceYear', 'Store', 'Promo', 'Month', 'Year', 'BeforeClose_bool', 'Min_Humidity', 'Mean_Humidity', 'Min_TemperatureC', 'Mean_TemperatureC', 'StateHoliday_bool', 'trend', 'CompetitionDistance', 'AfterSchoolHoliday', 'trend_DE', 'AfterStateHoliday_bool', 'BeforeStateHoliday_bool', 'Max_Humidity', 'AfterPromo', 'BeforeSchoolHoliday', 'Precipitationmm', 'Mean_Wind_SpeedKm_h', 'AfterClose_bool', 'Max_Wind_SpeedKm_h', 'BeforePromo']",0.142793670296669
4,44,"['CompetitionMonthsOpen', 'Week', 'StateHoliday', 'PromoInterval', 'StateHoliday_bool_fw', 'Promo_bw', 'Close_bool_fw', 'StoreType', 'DayOfWeek', 'Promo2', 'Close_bool_bw', 'SchoolHoliday_fw', 'Promo_fw', 'Promo2SinceWeek', 'Day', 'Events', 'Promo2Weeks', 'SchoolHoliday', 'SchoolHoliday_bw', 'State', 'CompetitionOpenSinceYear', 'Store', 'Promo', 'Month', 'Year', 'AfterSchoolHoliday', 'AfterStateHoliday_bool', 'BeforeSchoolHoliday', 'Mean_TemperatureC', 'Min_TemperatureC', 'Min_Humidity', 'BeforePromo', 'StateHoliday_bool', 'trend_DE', 'Max_Wind_SpeedKm_h', 'CloudCover', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'Max_TemperatureC', 'AfterPromo', 'trend', 'Precipitationmm', 'Mean_Humidity', 'Mean_Wind_SpeedKm_h']",0.14214268326759338
5,43,"['CompetitionMonthsOpen', 'Week', 'StateHoliday', 'PromoInterval', 'StateHoliday_bool_fw', 'Promo_bw', 'Close_bool_fw', 'StoreType', 'DayOfWeek', 'Promo2', 'Close_bool_bw', 'SchoolHoliday_fw', 'Promo_fw', 'Promo2SinceWeek', 'Day', 'Events', 'Promo2Weeks', 'SchoolHoliday', 'SchoolHoliday_bw', 'State', 'CompetitionOpenSinceYear', 'Store', 'Promo', 'Month', 'Year', 'CompetitionDistance', 'AfterStateHoliday_bool', 'BeforePromo', 'Precipitationmm', 'Mean_TemperatureC', 'Max_TemperatureC', 'AfterClose_bool', 'BeforeSchoolHoliday', 'Mean_Humidity', 'AfterPromo', 'Max_Wind_SpeedKm_h', 'Mean_Wind_SpeedKm_h', 'Min_TemperatureC', 'StateHoliday_bool', 'Max_Humidity', 'BeforeStateHoliday_bool', 'trend', 'trend_DE']",0.1381370574235916
6,45,"['StateHoliday_bool_bw', 'Store', 'Close_bool_bw', 'Promo2SinceYear', 'Promo_fw', 'StoreType', 'CompetitionOpenSinceYear', 'Day', 'SchoolHoliday_fw', 'PromoInterval', 'SchoolHoliday_bw', 'SchoolHoliday', 'Week', 'Promo_bw', 'Events', 'Promo2Weeks', 'Month', 'StateHoliday_bool_fw', 'Promo2', 'Year', 'DayOfWeek', 'Promo', 'CompetitionMonthsOpen', 'StateHoliday', 'State', 'BeforeClose_bool', 'Min_Humidity', 'Mean_Humidity', 'Min_TemperatureC', 'Mean_TemperatureC', 'StateHoliday_bool', 'trend', 'CompetitionDistance', 'AfterSchoolHoliday', 'trend_DE', 'AfterStateHoliday_bool', 'BeforeStateHoliday_bool', 'Max_Humidity', 'AfterPromo', 'BeforeSchoolHoliday', 'Precipitationmm', 'Mean_Wind_SpeedKm_h', 'AfterClose_bool', 'Max_Wind_SpeedKm_h', 'BeforePromo']",0.14772117137908936
7,44,"['StateHoliday_bool_bw', 'Store', 'Close_bool_bw', 'Promo2SinceYear', 'Promo_fw', 'StoreType', 'CompetitionOpenSinceYear', 'Day', 'SchoolHoliday_fw', 'PromoInterval', 'SchoolHoliday_bw', 'SchoolHoliday', 'Week', 'Promo_bw', 'Events', 'Promo2Weeks', 'Month', 'StateHoliday_bool_fw', 'Promo2', 'Year', 'DayOfWeek', 'Promo', 'CompetitionMonthsOpen', 'StateHoliday', 'State', 'AfterSchoolHoliday', 'AfterStateHoliday_bool', 'BeforeSchoolHoliday', 'Mean_TemperatureC', 'Min_TemperatureC', 'Min_Humidity', 'BeforePromo', 'StateHoliday_bool', 'trend_DE', 'Max_Wind_SpeedKm_h', 'CloudCover', 'BeforeStateHoliday_bool', 'BeforeClose_bool', 'Max_TemperatureC', 'AfterPromo', 'trend', 'Precipitationmm', 'Mean_Humidity', 'Mean_Wind_SpeedKm_h']",0.14325538277626038
8,43,"['StateHoliday_bool_bw', 'Store', 'Close_bool_bw', 'Promo2SinceYear', 'Promo_fw', 'StoreType', 'CompetitionOpenSinceYear', 'Day', 'SchoolHoliday_fw', 'PromoInterval', 'SchoolHoliday_bw', 'SchoolHoliday', 'Week', 'Promo_bw', 'Events', 'Promo2Weeks', 'Month', 'StateHoliday_bool_fw', 'Promo2', 'Year', 'DayOfWeek', 'Promo', 'CompetitionMonthsOpen', 'StateHoliday', 'State', 'CompetitionDistance', 'AfterStateHoliday_bool', 'BeforePromo', 'Precipitationmm', 'Mean_TemperatureC', 'Max_TemperatureC', 'AfterClose_bool', 'BeforeSchoolHoliday', 'Mean_Humidity', 'AfterPromo', 'Max_Wind_SpeedKm_h', 'Mean_Wind_SpeedKm_h', 'Min_TemperatureC', 'StateHoliday_bool', 'Max_Humidity', 'BeforeStateHoliday_bool', 'trend', 'trend_DE']",0.13507823646068573
