,Cantidad de características,Caracteristicas modelo,Puntaje (Sales_rmspe)
0,40,"['Day', 'Assortment', 'Promo_fw', 'SchoolHoliday', 'Week', 'PromoInterval', 'Close_bool_fw', 'Month', 'CompetitionOpenSinceYear', 'Promo2Weeks', 'Events', 'Promo2SinceWeek', 'SchoolHoliday_fw', 'Close_bool_bw', 'StateHoliday_bool_bw', 'State', 'Promo2', 'CompetitionMonthsOpen', 'Promo_bw', 'StoreType', 'Year', 'SchoolHoliday_bw', 'DayOfWeek', 'Promo', 'Promo2SinceYear', 'Max_TemperatureC', 'trend_DE', 'Mean_TemperatureC', 'AfterPromo', 'CompetitionDistance', 'StateHoliday_bool', 'Max_Wind_SpeedKm_h', 'Max_Humidity', 'Mean_Wind_SpeedKm_h', 'trend', 'BeforeSchoolHoliday', 'AfterClose_bool', 'BeforePromo', 'Precipitationmm', 'BeforeClose_bool']",0.3138626217842102
1,35,"['Day', 'Assortment', 'Promo_fw', 'SchoolHoliday', 'Week', 'PromoInterval', 'Close_bool_fw', 'Month', 'CompetitionOpenSinceYear', 'Promo2Weeks', 'Events', 'Promo2SinceWeek', 'SchoolHoliday_fw', 'Close_bool_bw', 'StateHoliday_bool_bw', 'State', 'Promo2', 'CompetitionMonthsOpen', 'Promo_bw', 'StoreType', 'Year', 'SchoolHoliday_bw', 'DayOfWeek', 'Promo', 'Promo2SinceYear', 'AfterClose_bool', 'trend_DE', 'BeforePromo', 'Min_TemperatureC', 'Min_Humidity', 'trend', 'Max_Wind_SpeedKm_h', 'Mean_Wind_SpeedKm_h', 'CompetitionDistance', 'BeforeClose_bool']",0.28284594416618347
2,40,"['Day', 'Assortment', 'Promo_fw', 'SchoolHoliday', 'Week', 'PromoInterval', 'Close_bool_fw', 'Month', 'CompetitionOpenSinceYear', 'Promo2Weeks', 'Events', 'Promo2SinceWeek', 'SchoolHoliday_fw', 'Close_bool_bw', 'StateHoliday_bool_bw', 'State', 'Promo2', 'CompetitionMonthsOpen', 'Promo_bw', 'StoreType', 'Year', 'SchoolHoliday_bw', 'DayOfWeek', 'Promo', 'Promo2SinceYear', 'AfterSchoolHoliday', 'Mean_TemperatureC', 'AfterStateHoliday_bool', 'AfterPromo', 'Max_TemperatureC', 'Mean_Humidity', 'BeforeStateHoliday_bool', 'Max_Wind_SpeedKm_h', 'trend', 'CompetitionDistance', 'AfterClose_bool', 'trend_DE', 'Precipitationmm', 'CloudCover', 'Min_TemperatureC']",0.3008155822753906
3,30,"['Week', 'CompetitionMonthsOpen', 'Store', 'Promo2Weeks', 'SchoolHoliday_bw', 'Promo_fw', 'StateHoliday', 'Promo2SinceYear', 'StateHoliday_bool_fw', 'SchoolHoliday', 'CompetitionOpenSinceYear', 'Promo2SinceWeek', 'PromoInterval', 'Day', 'Promo_bw', 'Max_TemperatureC', 'trend_DE', 'Mean_TemperatureC', 'AfterPromo', 'CompetitionDistance', 'StateHoliday_bool', 'Max_Wind_SpeedKm_h', 'Max_Humidity', 'Mean_Wind_SpeedKm_h', 'trend', 'BeforeSchoolHoliday', 'AfterClose_bool', 'BeforePromo', 'Precipitationmm', 'BeforeClose_bool']",0.1453160047531128
4,25,"['Week', 'CompetitionMonthsOpen', 'Store', 'Promo2Weeks', 'SchoolHoliday_bw', 'Promo_fw', 'StateHoliday', 'Promo2SinceYear', 'StateHoliday_bool_fw', 'SchoolHoliday', 'CompetitionOpenSinceYear', 'Promo2SinceWeek', 'PromoInterval', 'Day', 'Promo_bw', 'AfterClose_bool', 'trend_DE', 'BeforePromo', 'Min_TemperatureC', 'Min_Humidity', 'trend', 'Max_Wind_SpeedKm_h', 'Mean_Wind_SpeedKm_h', 'CompetitionDistance', 'BeforeClose_bool']",0.14540329575538635
5,30,"['Week', 'CompetitionMonthsOpen', 'Store', 'Promo2Weeks', 'SchoolHoliday_bw', 'Promo_fw', 'StateHoliday', 'Promo2SinceYear', 'StateHoliday_bool_fw', 'SchoolHoliday', 'CompetitionOpenSinceYear', 'Promo2SinceWeek', 'PromoInterval', 'Day', 'Promo_bw', 'AfterSchoolHoliday', 'Mean_TemperatureC', 'AfterStateHoliday_bool', 'AfterPromo', 'Max_TemperatureC', 'Mean_Humidity', 'BeforeStateHoliday_bool', 'Max_Wind_SpeedKm_h', 'trend', 'CompetitionDistance', 'AfterClose_bool', 'trend_DE', 'Precipitationmm', 'CloudCover', 'Min_TemperatureC']",0.1446973830461502
6,42,"['Close_bool_bw', 'Assortment', 'CompetitionOpenSinceYear', 'DayOfWeek', 'StateHoliday_bool_fw', 'State', 'SchoolHoliday', 'Year', 'Week', 'Promo_bw', 'Promo_fw', 'SchoolHoliday_bw', 'StoreType', 'Promo2Weeks', 'Events', 'Day', 'Month', 'Close_bool_fw', 'CompetitionMonthsOpen', 'StateHoliday', 'Promo', 'Promo2', 'PromoInterval', 'Promo2SinceWeek', 'StateHoliday_bool_bw', 'Store', 'Promo2SinceYear', 'Max_TemperatureC', 'trend_DE', 'Mean_TemperatureC', 'AfterPromo', 'CompetitionDistance', 'StateHoliday_bool', 'Max_Wind_SpeedKm_h', 'Max_Humidity', 'Mean_Wind_SpeedKm_h', 'trend', 'BeforeSchoolHoliday', 'AfterClose_bool', 'BeforePromo', 'Precipitationmm', 'BeforeClose_bool']",0.14253118634223938
7,37,"['Close_bool_bw', 'Assortment', 'CompetitionOpenSinceYear', 'DayOfWeek', 'StateHoliday_bool_fw', 'State', 'SchoolHoliday', 'Year', 'Week', 'Promo_bw', 'Promo_fw', 'SchoolHoliday_bw', 'StoreType', 'Promo2Weeks', 'Events', 'Day', 'Month', 'Close_bool_fw', 'CompetitionMonthsOpen', 'StateHoliday', 'Promo', 'Promo2', 'PromoInterval', 'Promo2SinceWeek', 'StateHoliday_bool_bw', 'Store', 'Promo2SinceYear', 'AfterClose_bool', 'trend_DE', 'BeforePromo', 'Min_TemperatureC', 'Min_Humidity', 'trend', 'Max_Wind_SpeedKm_h', 'Mean_Wind_SpeedKm_h', 'CompetitionDistance', 'BeforeClose_bool']",0.13883940875530243
8,42,"['Close_bool_bw', 'Assortment', 'CompetitionOpenSinceYear', 'DayOfWeek', 'StateHoliday_bool_fw', 'State', 'SchoolHoliday', 'Year', 'Week', 'Promo_bw', 'Promo_fw', 'SchoolHoliday_bw', 'StoreType', 'Promo2Weeks', 'Events', 'Day', 'Month', 'Close_bool_fw', 'CompetitionMonthsOpen', 'StateHoliday', 'Promo', 'Promo2', 'PromoInterval', 'Promo2SinceWeek', 'StateHoliday_bool_bw', 'Store', 'Promo2SinceYear', 'AfterSchoolHoliday', 'Mean_TemperatureC', 'AfterStateHoliday_bool', 'AfterPromo', 'Max_TemperatureC', 'Mean_Humidity', 'BeforeStateHoliday_bool', 'Max_Wind_SpeedKm_h', 'trend', 'CompetitionDistance', 'AfterClose_bool', 'trend_DE', 'Precipitationmm', 'CloudCover', 'Min_TemperatureC']",0.1321597844362259
